donor_id	cell_type	n_cells	AGTR1_mean	frac_AGTR1_pos	age	sex	disease	ethnicity
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005	Secretory	4185	0	0	37	female	normal	African
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005	T cell lineage	120	0	0	37	female	normal	African
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006	Basal	85	0	0	25	male	normal	American
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006	Ionocyte	52	0	0	25	male	normal	American
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006	Multiciliated	1896	0	0	25	male	normal	American
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006	Secretory	6521	0	0	25	male	normal	American
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006	T cell lineage	22	0	0	25	male	normal	American
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC008	Basal	91	0	0	41	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC008	Multiciliated	385	0	0	41	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC008	Secretory	6742	0	0	41	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC008	T cell lineage	241	0	0	41	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	AT2	27	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	Alveolar macrophages	94	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	EC capillary	40	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	EC venous	29	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	T cell lineage	68	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	AT2	89	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	Adventitial fibroblasts	47	0.126252887096811	0.170212765957447	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	DC2	205	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	Innate lymphoid cell NK	30	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	Mast cells	60	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	Monocytes	1209	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	Multiciliated	46	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	T cell lineage	178	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B	Transitional Club-AT2 cells	35	0	0	62.5	female	normal	unknown
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B	AT2	135	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B	Adventitial fibroblasts	22	0.105917138809508	0.272727272727273	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B	DC2	79	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B	Interstitial Mph perivascular	26	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B	T cell lineage	51	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	AT2	1422	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	Adventitial fibroblasts	201	0.0555895765622457	0.114427860696517	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	Alveolar macrophages	385	0.00109813128198896	0.0025974025974026	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	DC2	148	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	EC venous	36	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	Interstitial Mph perivascular	27	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	Lymphatic EC	76	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	Monocyte-derived Mph	1358	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C	Monocytes	44	0	0	32.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	AT2	343	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Adventitial fibroblasts	124	0.0561257757006153	0.0887096774193548	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Alveolar fibroblasts	26	0.034830982868488	0.0384615384615385	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Alveolar macrophages	504	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	DC2	161	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	EC arterial	29	0.0254230129307714	0.0344827586206897	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	EC venous	64	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Lymphatic EC	69	0.00692609427631765	0.0144927536231884	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Monocyte-derived Mph	297	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Monocytes	406	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Multiciliated	55	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	Smooth muscle	41	0.0127498420273385	0.024390243902439	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	T cell lineage	177	0	0	52.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	AT2	814	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Adventitial fibroblasts	48	0.104183154801528	0.208333333333333	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Alveolar macrophages	1419	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	DC2	66	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Interstitial Mph perivascular	144	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Mesothelium	21	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Monocyte-derived Mph	377	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Monocytes	316	0	0	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C	Subpleural fibroblasts	91	0.0119059681892395	0.032967032967033	42.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	AT1	87	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	AT2	1474	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Adventitial fibroblasts	199	0.024221714043138	0.0753768844221106	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Alveolar macrophages	507	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	B cell	608	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	DC2	937	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	EC capillary	73	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	EC venous	74	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Innate lymphoid cell NK	4000	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Interstitial Mph perivascular	75	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Mast cells	20	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Monocyte-derived Mph	402	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Monocytes	1834	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Multiciliated	67	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Plasma cells	72	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Smooth muscle	64	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	Subpleural fibroblasts	79	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C	T cell lineage	2831	0	0	42.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	AT2	302	0.00474131166540234	0.00662251655629139	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Adventitial fibroblasts	1375	0.0706456559137865	0.146909090909091	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Alveolar fibroblasts	176	0.114158908751878	0.136363636363636	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Alveolar macrophages	453	0.0028350708500439	0.00662251655629139	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	B cell	361	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	DC2	337	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	EC arterial	53	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	EC capillary	101	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	EC venous	232	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Interstitial Mph perivascular	167	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Lymphatic EC	35	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Mast cells	98	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Monocyte-derived Mph	1536	0.00106045929715037	0.00130208333333333	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Monocytes	78	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Plasma cells	78	0	0	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	Smooth muscle	92	0.014751462670772	0.0326086956521739	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	T cell lineage	1679	0.000717382831471246	0.000595592614651578	57.5	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	AT2	1227	0.000326260256398084	0.00162999185004075	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Adventitial fibroblasts	271	0.080710782995963	0.118081180811808	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Alveolar fibroblasts	531	0.0753423875502947	0.150659133709981	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Alveolar macrophages	95	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	B cell	210	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	DC1	54	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	DC2	219	0.0064857593954426	0.0045662100456621	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	EC arterial	109	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	EC capillary	38	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	EC venous	202	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Innate lymphoid cell NK	2720	0.000720167094293763	0.000735294117647059	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Lymphatic EC	95	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Mast cells	2185	0.00145242066896207	0.00091533180778032	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Monocyte-derived Mph	264	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Monocytes	921	0.00673570785667428	0.00542888165038002	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Multiciliated	25	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Myofibroblasts	53	0.0336501733312067	0.0377358490566038	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Plasma cells	31	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Smooth muscle	196	0.0189879074388621	0.0306122448979592	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Smooth muscle FAM83D+	23	0.0495187471742215	0.130434782608696	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	T cell lineage	5103	0.000466779566455911	0.000391926317852244	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	Transitional Club-AT2 cells	42	0	0	67.5	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	Basal	1853	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	DC2	21	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	EC arterial	20	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	EC venous	238	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	Peribronchial fibroblasts	20	0.116819882392883	0.05	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	SMG mucous	31	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	SMG serous	108	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	Secretory	1237	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322	Smooth muscle	35	0.124012926646641	0.0571428571428571	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Alveolar macrophages	45	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Basal	3661	0.000276334589864673	0.000273149412728763	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	DC2	128	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	EC venous	231	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Ionocyte	23	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Mast cells	20	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Monocyte-derived Mph	58	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Multiciliated	335	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	SMG duct	21	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Secretory	415	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Smooth muscle	22	0.053204899484461	0.0454545454545455	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	Smooth muscle FAM83D+	25	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326	T cell lineage	98	0	0	31	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337	Alveolar macrophages	195	0	0	35	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337	Multiciliated	794	0	0	35	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337	Secretory	266	0	0	35	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337	T cell lineage	34	0	0	35	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337	Transitional Club-AT2 cells	24	0	0	35	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	Basal	2910	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	DC2	27	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	EC venous	402	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	Multiciliated	158	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	SMG duct	162	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	SMG mucous	148	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	SMG serous	664	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339	Secretory	1232	0	0	29	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Alveolar macrophages	138	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	B cell	21	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Basal	822	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	DC2	61	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	EC venous	286	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Monocyte-derived Mph	35	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Monocytes	43	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Multiciliated	1002	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Peribronchial fibroblasts	32	0.122834224253893	0.0625	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	SMG duct	56	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	SMG mucous	95	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	SMG serous	1192	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Secretory	1940	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Smooth muscle	32	0.0660993903875351	0.03125	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Smooth muscle FAM83D+	49	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	T cell lineage	66	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344	Transitional Club-AT2 cells	52	0	0	26	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353	Alveolar macrophages	290	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353	Basal	5293	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353	DC2	108	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353	EC venous	114	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353	Ionocyte	28	0	0	30	female	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353	Monocyte-derived Mph	29	0	0	30	female	normal	European
