cluster_0	cluster_1	cluster_2
DNAH9	0.792142182715312	1.26239962999349	0
KIAA0100	0.47560077114356	0.554328700597398	0.472872566295153
SLC13A2	0	0	0
GAS7	0.580355451121119	0.689068841611654	0.29000835015378
TRAPPC6A	0.509252097858248	0.43912931582627	0.556285604697667
MATK	1434176347.03379	0	0
CEACAM7	0	0	0
CD79B	0.49827571927338	0.421720914445964	0.589337002827837
SCN4A	0.255303025124732	3.91691401845093	0
ST7L	0.485809378447689	0.541326453029372	0.474547110507631
TKTL1	0	0	0
PAX6	0	0	0
RPUSD1	0.490341660524391	0.416151731093096	0.605461403966004
RHBDF1	0.483103315567811	0.544321134703813	0.47448167765818
LUC7L	0.460423314780255	0.547911542848948	0.494242807286776
CACNA2D2	0.396476307996737	0.858772583962928	0.340621813279075
BAIAP3	0.455170569205315	0.479624742321463	0.569986137624146
TSR3	0.527548760651988	0.458520176704502	0.515771671103275
PIGQ	0.452572128369874	0.528317019281637	0.521487544706803
CRAMP1	0.43140258210808	0.610695292810047	0.469432939950038
TEAD3	0.479822082720301	0.520059022099342	0.500659020912047
SELE	648397474.583773	0	0
DNAJC11	0.448242793469051	0.56705184825801	0.489498148292181
FMO3	0.520542157776454	0.396772891753554	0.596414231072557
MYLIP	0.500026579926383	0.495120655144738	0.504884543336636
NOX1	0	0	0
E2F2	648397474.583773	0	0
PSMB1	0.521553948776802	0.464687467297431	0.515065070448119
SYN1	0.499387198085769	0.351896493271483	0.685319601278119
JARID2	0.486512596435516	0.546995462054646	0.468708642033913
CDKL5	0.584139485277717	0.659169538084386	0.305429695665871
CAMK1G	1.54860936938228	0.645740635811465	0
CDK11A	0.4417699687025	0.557907941664291	0.504841913022654
NADK	0.455011510216624	0.563364365020619	0.485720601592179
TFAP2B	0	0	0
DLEC1	0	1.48816920714434	0.67196659761498
CYTH3	0.472397177258282	0.529315254737648	0.499367241669314
ADAM22	0	0	0
SYPL1	0.513994504924213	0.471414386629978	0.515432974421116
CYB561	0.491515483084861	0.510592672978091	0.498017011697887
SPAG9	0.473213739278659	0.561067980023637	0.469238316346925
CELSR3	0.251530614621909	1.02548156632669	0.413889910141524
AASS	0.447465867743736	0.564555873805719	0.492585427944426
PLEKHG6	1094136264.96447	0	0
SS18L2	0.547742901100846	0.404430004323344	0.557959465793054
MPND	0.499549742968937	0.680178044004835	0.355090412635333
MGST1	0.500192142397188	0.520145460123416	0.480194402955464
CRY1	0.546416026280805	0.510210318699425	0.446792631616037
PGLYRP1	0	0	0
NFIX	0.477179274882648	0.532839098995501	0.491090945630791
ST3GAL1	0.486016857593787	0.531864736444629	0.483105267348353
MMP25	0	0	1393499545.08907
IL32	0.575763175607487	0.451073128223117	0.478761159807991
PKD1	0.422468171836501	0.598729202392645	0.489203779963559
MAPK8IP2	1.22652376377865	0	0.815312371622151
MED24	0.517340605881841	0.48115388191743	0.501946003807862
RHOBTB2	0.449541831178929	0.663525628036852	0.41044930379804
HEATR5B	0.467792809868936	0.502800117281661	0.530736161177862
SEC62	0.494034238544091	0.502946798381944	0.503054770778248
RPS20	0.520703639138465	0.470376485177777	0.509862996117709
CSDE1	0.493486489612661	0.513802109270449	0.492899421173607
UBE3C	0.450432648194002	0.581739504160849	0.474197437894836
REV3L	0.455032917922426	0.558270587000912	0.490327944608993
TENM1	0.341403393567993	0.858423662297936	0.39582602285198
PAX7	0	0	0
MASP2	0	1381237217.31602	0
IYD	0	0	0
FAM76A	0.472449255234768	0.523891329321587	0.504563317572567
TRAF3IP3	0.3943207440052	0.555240928426353	0.562945169487045
POMT2	0.470226313546864	0.552118052792639	0.480271569914563
VTA1	0.462613112545751	0.555688332430969	0.484803217021961
MLXIPL	0.516869335480245	0.488470839488816	0.494953765315091
BAZ1B	0.475296871019189	0.533570687106564	0.49232048303636
RANBP9	0.475925916958237	0.486674918836965	0.538894294909557
ETV7	0.660651429182588	0.316009927409182	0.567511177771457
SPRTN	0.517658329272448	0.487069707686902	0.495602780999885
EEF1AKNMT	0.518294163078185	0.436481313029508	0.549857508799859
DYRK4	0.512471247699331	0.458659190203346	0.530762261489361
ZNF207	0.475973182462158	0.543003629138197	0.482812059497745
UQCRC1	0.522065982867445	0.468249857759883	0.510767378899527
STARD3NL	0.525589630967197	0.465083819377908	0.510663176594057
CD9	0.527837092422944	0.48289280461769	0.490041207994507
HHATL	0	0	0
NCAPD2	0.429501211247367	0.587928476030779	0.490970656728094
IFFO1	0.481656921248188	0.503429426216432	0.515303111326055
GIPR	0.792142182715312	1.26239962999349	0
PHF7	0.387863778694269	0.617630047619454	0.51221902147342
SEMA3G	648397474.583773	0	0
NISCH	0.444119971577331	0.555669580212797	0.504377590588922
STAB1	0.315561978430642	0.833628099999538	0.439881251788576
FUZ	0.515083194195651	0.429651376991955	0.56128265545161
SLC6A13	0	0	0
IDS	0.488380807715546	0.507387935563426	0.504370871733696
PRSS3	0	0	0
ZNF200	0.512441414495851	0.451126879381313	0.539177261969896
CD4	0.498686948845661	0.490314948521656	0.511144380343304
LRRC23	0.448052995278657	0.559124596422191	0.496934320321282
BTK	0.516869335480245	0.488470839488816	0.494953765315091
HFE	0.565993679798149	0.547435994506684	0.398215107499546
SCMH1	0.521069165870303	0.449209408772942	0.532481798586045
FYN	0.484673416680278	0.524460841282355	0.491465288216588
HIVEP2	0.505364179940553	0.54255543772571	0.454685104470682
FMO1	0.527609087413333	1.89534263616732	0
ELOA	0.479969125611563	0.524644607198053	0.496066081856763
LYPLA2	0.512591438891629	0.465562033594819	0.523111255121428
CLCN6	0.517568812691673	0.538827582526204	0.446746879772485
MRC2	0.477802261562934	0.536694687599346	0.486829377318189
NME1-NME2	0	1381237217.31602	0
SLC6A7	0.611801402976243	0.406888589381917	0.4952425118784
TSPAN9	0.491335937016576	0.507367958704654	0.501383728484561
BTBD7	0.471171144100783	0.563481362913891	0.469138229941122
APBA3	0.485769401763332	0.514305018200263	0.500197039087443
MKS1	0.502223465934564	0.41070109641992	0.598841950166453
ABHD5	0.505198763819257	0.49084404789797	0.504042238742538
ANOS1	0.434545166233376	0.81856126066123	0.327968870528037
AKAP8L	0.47747580914995	0.52148838523232	0.501684563804482
MBTD1	0.438699378508433	0.580808624817588	0.487342452190873
UTP18	0.528314940503505	0.479716965860392	0.492805383396982
RNF216	0.487168566547264	0.513484477899988	0.499577925818155
TTC19	0.486941640670261	0.528560579154619	0.485291752454218
PTBP1	0.490987472076001	0.50686137998131	0.5022402090948
DPF1	0.563152295417379	0.336831208611227	0.633374478103518
SYT7	0.434545166233376	0.81856126066123	0.327968870528037
LARS2	0.499437594876509	0.567579938529041	0.438523376281394
PIK3C2A	0.462577841079556	0.582718423435524	0.461024152032888
PLAUR	0.58241494401557	0.420980953338427	0.505309297831547
ANLN	0	0	0
WIZ	0.448700527287891	0.593252923717402	0.466104811850356
RABGAP1	0.469934503394732	0.534553260735501	0.496911585876158
DCN	0.500142135978122	0.488740964380417	0.511286349700643
QPCTL	0.398941622794213	0.553648287495093	0.558779459515273
PPP5C	0.49802337854443	0.530970246177167	0.472161895007277
CEP68	0.455973322309834	0.517053533280165	0.529047991797172
MAP4K3	0.462442061161332	0.543627597544185	0.496137909112267
ZBTB32	0	1381237217.31602	0
TYROBP	0.501429195809726	0.462705424442184	0.537744070966747
TMEM159	0.538103544933225	0.494477543500779	0.469035915568494
GABRA3	0	0	0
BRCA1	0.454221339506335	0.569552607536274	0.480993217287776
ERCC1	0.514097985844458	0.477250628757129	0.509188937879135
CD22	1434176347.03379	0	0
SEMA3B	0.556054864794098	0.552865708453112	0.401780500832814
MBTPS2	0.480022960887977	0.563028763429941	0.460810867111334
PRICKLE3	0.552098349252253	0.743770909025824	0.278378230541392
LTF	0.3943207440052	0.555240928426353	0.562945169487045
EXTL3	0.446018610989022	0.624165508066677	0.443532258293754
NR1H4	0.471049116892116	0.512945662661851	0.516873454501371
ELOVL5	0.535972991834821	0.467084223652096	0.498525239567193
ALOX5	0.450724974711084	0.497900801505564	0.55499588231221
KDM5D	0.429466013542853	0.549936170750723	0.526134566627668
CALCOCO1	0.477367711013569	0.523203497283512	0.500128981358668
UBR7	0.545887510564402	0.421923189443221	0.538817754717572
MAP4K5	0.485261851088509	0.524211698457758	0.491110291093007
EHD3	0.476134759549229	0.519396092588896	0.505120007044251
PSMC4	0.534279870777778	0.462298925056033	0.505176923915051
MAN2B2	0.489650434134555	0.533399572572825	0.478074622765291
SLC7A14	0	0	0
CLDN11	0.616397163817405	0.326694275310905	0.593404557900608
SLC25A39	0.508696202537331	0.487813337821856	0.503649262234567
MVP	0.542169411224726	0.482999248839746	0.476551691568614
NUB1	0.515762827189038	0.511488926739286	0.473476920298659
PGM3	0.483718471562405	0.561673432242776	0.458408485593789
RWDD2A	0.412991259745047	0.480087950111652	0.621675934492946
CLK1	0.486697237241426	0.536536729251706	0.478078963525196
POLR3B	0.448922572487829	0.502059575323896	0.552603508768244
ANGEL1	0.488040193628896	0.45468805786462	0.561176566949736
RNF14	0.479791880872667	0.531364531317764	0.489831346100655
DNASE1L1	1.02552591751309	0.975109436280167	0
DDX11	0.458962523721728	0.550902339859753	0.492992989327949
HEBP1	0.517235905720373	0.464102451947307	0.520000774312219
GPRC5A	0.841523181312247	0.67053375398877	0.165012083328156
MAMLD1	0.419776440195853	0.59738139861087	0.493341507324607
CD6	0	0.661219794588033	1.51235641609964
TACC3	0.46199272778058	0.441680084202408	0.606769236711686
UFL1	0.473029629198086	0.525529079522959	0.502366048513435
POLA2	0.480724508639229	0.520530756678704	0.499273221364739
ZC3H3	0.523298749249157	0.510593125214635	0.467268911546067
CAPN1	0.506960186222216	0.490396525073337	0.502742320630682
ACP3	0	0	0
MDH1	0.515756176116577	0.477691330893793	0.507086391176211
SLC30A9	0.47875729142641	0.50638436267255	0.515345969955047
MTMR11	0.510695175793174	0.54260953070461	0.449693658400454
COX15	0.452825964805191	0.580058020865346	0.473191973972442
CCDC88C	0.469432379887859	2.13023225618274	0
YAF2	0.474611722016166	0.525176003168322	0.501065718418775
ZMYND11	0.481173012462947	0.54155024623886	0.478935983066794
WAS	0.59150019501654	0.391661705805625	0.531167069035918
DPEP1	648397474.583773	0	0
BID	0.596657617675538	0.50298896991354	0.411729951236781
MATR3_ENSG00000015479	0.443571652313576	0.553826958910916	0.506701595333989
NPC1L1	0	0	0
XYLT2	0.473100541644712	0.50546871453953	0.522267531520089
RGPD5	0.402055202861588	0.597669790423664	0.513203252401577
STMN4	1094136264.96447	0	0
NUDCD3	0.486147500440494	0.490415888644916	0.524005485827307
ISL1	0	1381237217.31602	0
CHDH	0.467682132729526	0.499604537097936	0.53418686154996
IL20RA	0.469432379887859	2.13023225618274	0
CLCA1	0	0	0
CLCA4	0	0	0
GLT8D1	0.496222736438903	0.466356492190342	0.539200576306693
ATP2C1	0.478890052066317	0.510592982498197	0.510972252928672
IGF1	0.589342265574334	0.699268759478271	0.278248528801378
SLC38A5	0.701879321018272	0.35718634793595	0.480175026978509
RALBP1	0.519942153456904	0.485181810539411	0.495300301102293
RUFY3	0.437762989589925	0.592408092141285	0.478206773285682
CNTN1	0	0	0
SLC11A1	0.456408342322539	0.497822098023352	0.548602864964184
WWTR1	0.449327858687286	0.543844417088372	0.509909545553734
AGPS	0.469355026832354	0.523504322515996	0.508186844675826
STEEP1	0.484262424266582	0.527385537731593	0.489089852378907
ATP1A2	0.617676745455695	0.412422914839484	0.484062020465778
TTC27	0.490162044584331	0.523582152334914	0.486802898893697
ZNF582	0.493841264405585	0.501267319131165	0.504934053739508
VSIG2	0.508192258789944	0.541525333269978	0.452967921211037
PHLDB1	0.463193166450979	0.544189593110881	0.494825592804651
MARCO	0.476907184969675	0.459519049621788	0.568007206132662
CYP24A1	0	0	0
PRDM11	0.441152929171416	0.573929094628157	0.490849587333094
SYT13	0	0	0
SNAI2	0.521074733008261	0.471886968803291	0.507908730563441
CD74	0.523044653189119	0.466882559006179	0.511252943015269
HGF	0.480368706564594	0.540999943688369	0.480246143851995
ZRANB1	0.448661236898185	0.583336374838299	0.47464403367694
NCDN	0.446706958262129	0.520464566025511	0.535906523196966
ADGRA2	0.482887612566051	0.527247566815006	0.490607600750566
ZFP64	0.475730023786304	0.500967873564196	0.524082404682707
MNAT1	0.455425812505465	0.538278311441711	0.50866327464183
SAMD4A	0.487339753673648	0.587638935935947	0.433090726644345
RUNX3	0.594864678486515	0.614546839278997	0.326930948339865
MRE11	0.445259573361916	0.580725051661917	0.480468876381004
PLEKHB1	0.364243551670802	0.346144418779656	0.907921027720019
SERPINB1	0.522081194139447	0.464354598313484	0.514898753470825
CYP3A43	648397474.583773	0	0
SLC7A9	648397474.583773	0	0
SPAST	0.455911248062858	0.618604595636576	0.438168466087411
NRXN3	0.758957940801259	0	1.31759606868017
OSBPL5	0.52174190642769	0.510943230136834	0.468385425892281
AQR	0.448339971090082	0.567401004377958	0.489080098173811
CPS1	0.444084418979919	0.593037746536161	0.471046440355093
C8B	0.465301532679744	0	2.14914400126938
FHL1	0.516232050787765	0.481052113912958	0.503138571480571
RTF2	0.521129033010313	0.466994405235826	0.513024760093943
GABRA1	0	1381237217.31602	0
NLRP2	0	0	0
SLC45A4	648397474.583773	0	0
RNF10	0.507265034147441	0.488460893051739	0.504411481794399
ZNF839	0.456070332530983	0.74074627415549	0.353631068406106
ZDHHC6	0.488255321146525	0.506243590240841	0.505640785908447
GRAMD1B	0.186849436202463	0.50459463739798	1.02921130417383
RNH1	0.515071921334627	0.479875644580161	0.505496098555233
NDUFS1	0.48455369372677	0.540285126665025	0.476741831934515
RB1CC1	0.461699769660699	0.535894982288708	0.50425976549054
ERP44	0.497017691346257	0.493307296810982	0.509774226366273
ALAS1	0.577194658632952	0.477580540199111	0.45099806435796
BIRC3	0.617411296805924	0.309769557046494	0.617507938503389
AKAP11	0.446485698507574	0.582319158655251	0.477791323023651
GLRX2	0.56504270051944	0.390613390984162	0.557795769881726
SNAPC1	0.508731505954762	0.539178512203514	0.454557462647456
DERA	0.518394343235696	0.428611358105188	0.559018701338538
STRAP	0.537684216601756	0.457119127860411	0.507418618186785
ABCC2	0	0.992742740717499	1.00731031114499
DEF6	0.312667088004219	3.19828992670322	0
PLEKHO1	0.522542954168353	0.500903383022044	0.477238686749278
GCLM	0.489448208419899	0.481787244674844	0.529637391208618
UBR2	0.455886289392355	0.59013389543862	0.461442803156511
EHD2	0.504194355377969	0.486549728893671	0.509448452089318
DEPDC1	0.469432379887859	2.13023225618274	0
CCDC28A	0.467387746196765	0.504767242567185	0.529140225611871
RRAGD	0.450081054096997	0.523893813127166	0.528655390007606
HSF2	0.483487125172562	0.524374564638147	0.492747103267035
PHF20	0.501708484719017	0.50755992508736	0.490827874718525
HSD17B6	1.22652376377865	0	0.815312371622151
NR1H3	0.464544975856769	0.52438831241494	0.512417168163179
TYMP	0.518725307452794	0.469599332842959	0.512640750331465
NCAPH2	0.502339644652823	0.526522204567152	0.472130217734136
TOMM34	0.592358502713139	0.388742309076018	0.533919435885505
SEC63	0.467220554428714	0.514788054059603	0.519108450809033
KPNA6	0.472242021483	0.544210838253786	0.485478216405215
VIM	0.519848792541335	0.477508718335077	0.503251111978796
RTEL1-TNFRSF6B	1094136264.96447	0	0
FAS	0.501772917856064	0.456596387048496	0.544190752728764
RNASET2	0.545033298014437	0.4437912038684	0.514821392385968
CD44	0.542270357372677	0.444243645871899	0.516987287105873
KCNG1	1094136264.96447	0	0
AGPAT4	0.499092083193279	0.490403734493977	0.510641481822298
SLAMF7	1.02919039411163	0	0.971637516543563
BTN3A1	0.468200965797157	0.508967081743353	0.52395036214997
MIPEP	0.45829933427697	0.49403710105946	0.55052628769852
PRKCH	0.450036535571782	0.700360857561114	0.38455878119593
INSRR	0	0	0
IFNGR1	0.521769691251252	0.471923182651095	0.507188400025214
B4GALT7	0.528623246502171	0.41814093245575	0.560870756290915
SH2D2A	1.03145671821035	0.969502628074734	0
VRK2	0.467296336116648	0.467970086873345	0.569214226696792
TNFRSF1B	0.559534145138261	0.47053000483525	0.473283588546039
VEZT	0.468403126987159	0.557227103831079	0.477495502954534
POU2F2	1.10766237820718	0	0.90280217037583
BRD9	0.456166220898396	0.564977079351741	0.483067334193245
SNX1	0.506238487115657	0.480808679238412	0.513345072265574
TBPL1	0.51797219283113	0.4669958009607	0.516159543909356
ARNTL2	0.785171597676672	0	1.27360694315412
BCLAF1	0.482599916072424	0.542666237737831	0.476492368213821
SLC39A9	0.550792039636621	0.525596160704742	0.429210992976256
ANK1	648397474.583773	0	0
IBSP	0	0	0
TFB1M	0.501294781158789	0.458982842229601	0.542021769082166
RABEP1	0.478797950793331	0.54966947706004	0.473891044435163
HMGB3	0.648079425291546	0.272086393394324	0.647112702573496
NUP160	0.473516739179864	0.51028953524208	0.516928729100889
BAK1	0.571707497704835	0.431401066667885	0.503458528146676
MUSK	0.233678914387567	0.676448030107253	0.686576530231727
IKZF2	0.424759158251599	0.952102642190844	0.272493155150275
GRN	0.50488423058592	0.47975983120712	0.515813609813213
FAM13B	0.460422098462965	0.565590276044454	0.478131632054975
ARHGAP31	0.490052325278558	0.630646421026653	0.39737230011866
CENPQ	0.421845180782504	0.540923152772877	0.5438604953505
SARS1	0.498775100876724	0.493800704499031	0.507488118367072
RANBP3	0.527198628147703	0.496393202651163	0.477251563195424
ARID4A	0.480141379955244	0.531666149535601	0.489192023710971
EIPR1	0.552863459140259	0.466850078081907	0.483029435749507
PNPLA6	0.442163487853916	0.538710110351454	0.522759907125896
IFT88	0.514828707373666	0.504101695952368	0.481458012844353
ALG1	0.450799250021398	0.520908607859149	0.530870639204094
ZCCHC8	0.453409352796179	0.562229039876385	0.488423953443202
ABCF2	0.527700693159296	0.472665080937174	0.500644156900683
CHPF2	0.491551306328183	0.495315318124298	0.513313026921133
LRRC7	0.670975495576662	1.49036739155317	0
FUT8	0.438883551183169	0.553833690371191	0.511836450817263
UBA6	0.478724941061842	0.550107508874407	0.473567517095762
GAB2	0.467533389883643	0.583060953395367	0.455822591271366
ATP6V0A1	0.482333903033151	0.524541671622545	0.493756130143477
PIAS1	0.461781669375609	0.558540214791931	0.483069437473727
SLC4A7	0.460091722024252	0.511445793871007	0.530237453152097
APBA2	0.476395804526516	0.981225787855404	0.22258830584233
MAP2K3	0.575193237704781	0.431061748726339	0.50065566399126
EFCAB1	0.469604649741695	0.550551812670969	0.482330919937116
TMSB10	0.53012734677155	0.46371121629401	0.507693569503799
ASTE1	0.469795945312471	0.554674420111797	0.478389007618449
RNF19A	0.467870584906202	0.554426734972197	0.480566715172031
PEX3	0.496876802030968	0.531486935229148	0.472792747582881
GABARAPL2	0.517968923526587	0.467639054338785	0.515476323787233
MYOC	0	1.48816920714434	0.67196659761498
SH3YL1	0.461487790618457	0.555497540968305	0.48613885913106
FAM136A	0.486117510995511	0.505709576343981	0.508370698668488
