Feature	Age	term	estimate	std.error	statistic	p.value	p.bonf	p.bonf.sig	p.bonf.cat	p.fdr	log.p.bonf
alveolar_type_1_cells	31wk	AGTR2	-0.759169352882857	0.195253580085586	-3.88812001577685	0.0602338838761502	1	FALSE	> 0.05	0.0787673866072733	0
alveolar_type_1_cells	3yr	AGTR2	-1.89835413721167	0.78166054121444	-2.42861707495463	0.135837321818018	1	FALSE	> 0.05	0.17105440525232	0
alveolar_type_1_cells	31yr	AGTR2	-0.10711761293353	0.154266095629511	-0.694369119127679	0.513425061597256	1	FALSE	> 0.05	0.623444717653811	0
alveolar_type_2_cells	31wk	AGTR2	-0.245821031900205	0.482458153671455	-0.50951783077876	0.624143591205692	1	FALSE	> 0.05	0.707362736699785	0
alveolar_type_2_cells	3yr	AGTR2	-2.3941457401246								
alveolar_type_2_cells	31yr	AGTR2	0.591431671049917	0.0168589266010263	35.081217508469	5.16938093189651e-47	1.75758951684481e-45	TRUE	<= 0.005	1.95287724093868e-46	44.7550825464324
AT1/AT2-like	31wk	AGTR2	-0.303516675402701	0.54337261685491	-0.558579262163565	0.606238924948783	1	FALSE	> 0.05	0.707362736699785	0
AT1/AT2-like	3yr	AGTR2	-1.11475709822771								
AT2/Club-like	31wk	AGTR2	0.58807892136016								
AT2/Club-like	31yr	AGTR2	-0.808086831190684								
B_cells	31wk	AGTR2	-1.37124527689374	0.15968404945727	-8.58724012544957	0.000137061598025373	0.00466009433286268	TRUE	<= 0.005	0.000221909253945842	2.3316052919308
Cap1	31wk	AGTR2	-1.01128057409335	0.190961686910503	-5.29572497213698	0.00610479307613052	0.207562964588438	FALSE	> 0.05	0.00830251858353751	0.682850134974581
Cap1	3yr	AGTR2	-1.53335485972608								
Cap2	31wk	AGTR2	-1.10680895176407								
Cap2	3yr	AGTR2	-1.68666212154461								
chondrocytes	31wk	AGTR2	-1.71582879175134	0.0441819037123288	-38.8355559082109	2.61273102155582e-20	8.88328547328979e-19	TRUE	<= 0.005	5.92219031552653e-20	18.051426381178
ciliated_cells	3yr	AGTR2	-2.11806308859689								
ciliated_cells	31yr	AGTR2	0.00180369496680316	0.368887854790735	0.00488954825532646	0.996542587936335	1	FALSE	> 0.05	0.996542587936335	0
club_cells	31wk	AGTR2	-0.10876320158324	0.499305486594047	-0.217828973451014	0.838223386321219	1	FALSE	> 0.05	0.919341778545853	0
enucleated_erythrocytes	31wk	AGTR2	-1.75045322182158	0.0329878842995222	-53.0635188946304	1.25112113338912e-45	4.253811853523e-44	TRUE	<= 0.005	4.253811853523e-45	43.3712217228921
Interstitial_macrophages	3yr	AGTR2	-0.743771295862171								
lymphatics	31wk	AGTR2	-0.699655064374532	0.00885990721250241	-78.9686672324551	1.54123149659364e-07	5.24018708841838e-06	TRUE	<= 0.005	3.08246299318728e-07	5.28065320728779
mast_cells	31wk	AGTR2	-1.41073063006443								
mast_cells	3yr	AGTR2	-1.62403288319576								
matrix_fibroblast_1	31wk	AGTR2	-1.04729100413956	0.0056185921635111	-186.397405909081	0	0	TRUE	<= 0.005	0	Inf
matrix_fibroblast_1	3yr	AGTR2	-1.54875503084082	0.0224622413364446	-68.949265019604	6.62334883296755e-121	2.25193860320897e-119	TRUE	<= 0.005	7.50646201069655e-120	118.647443454252
matrix_fibroblast_1	31yr	AGTR2	-1.46969826291865	0.0371972256591474	-39.5109645107962	1.50189710716781e-50	5.10645016437055e-49	TRUE	<= 0.005	6.38306270546319e-50	48.291880902167
matrix_fibroblast_2	31wk	AGTR2	-0.626074196435119	0.0119234373131464	-52.5078616167867	5.71691675946788e-147	1.94375169821908e-145	TRUE	<= 0.005	9.71875849109539e-146	144.711359214194
matrix_fibroblast_2	3yr	AGTR2	-1.28453783869824	0.0270656194480201	-47.4601307819763	4.1152236190836e-83	1.39917603048842e-81	TRUE	<= 0.005	2.33196005081404e-82	80.8541276434349
matrix_fibroblast_2	31yr	AGTR2	-1.05584979385654	0.0429180835620668	-24.6015130738446	9.08366352981357e-26	3.08844560013661e-24	TRUE	<= 0.005	2.57370466678051e-25	23.5102600439195
monocytes	3yr	AGTR2	-1.30864083662059	0.280197356982181	-4.67042534132045	0.00342991404720484	0.116617077604965	FALSE	> 0.05	0.00485904490020686	0.93323784609059
myofibroblasts	31wk	AGTR2	-0.716368657065498	0.118921732923988	-6.02386661757934	2.31510218140259e-06	7.87134741676879e-05	TRUE	<= 0.005	3.93567370838439e-06	4.10395091877442
myofibroblasts	3yr	AGTR2	-2.37313194029533								
myofibroblasts	31yr	AGTR2	-2.71473579141054								
NK_cells	31wk	AGTR2	-2.14564382251935								
NK_cells	3yr	AGTR2	-1.83701682953508								
pericytes	31wk	AGTR2	-1.16183028209801	0.0128487095612718	-90.4238886059009	3.86743978530159e-90	1.31492952700254e-88	TRUE	<= 0.005	2.62985905400508e-89	87.8810975223484
pericytes	3yr	AGTR2	-1.9816368394915	0.019929426473133	-99.4327078184089	4.34248466493449e-111	1.47644478607773e-109	TRUE	<= 0.005	3.69111196519431e-110	108.830782789505
pericytes	31yr	AGTR2	-1.63697731187359	0.0562697022807793	-29.0916291631554	2.30262301998777e-21	7.82891826795843e-20	TRUE	<= 0.005	5.59208447711316e-21	19.1062982408425
T_cells	3yr	AGTR2	-1.9373176763063	4.44089209850063e-16	-4362451582555670	5.25458909521565e-32	1.78656029237332e-30	TRUE	<= 0.005	1.62414572033938e-31	29.7479823227567
T_cells	31yr	AGTR2	-0.16925146630554	1.64042508272167	-0.103175370876877	0.92723738099438	1	FALSE	> 0.05	0.981702789832824	0
unclassified	31wk	AGTR2	-0.896167976639273	0.0502609110539872	-17.8303169967744	1.17440451279989e-25	3.99297534351962e-24	TRUE	<= 0.005	3.07151949501509e-25	23.3987033715503
unclassified	31yr	AGTR2	-0.0470356391145609	0.704295479715923	-0.0667839571163124	0.952829178367153	1	FALSE	> 0.05	0.981702789832824	0
vascular_smooth_muscle	31wk	AGTR2	-1.35873369785732	1.19917792333295e-16	-11330542961305500	3.64039377541342e-64	1.23773388364056e-62	TRUE	<= 0.005	1.76819126234366e-63	61.9073727198473
vascular_smooth_muscle	3yr	AGTR2	-1.50771604455937	0.0450403846493865	-33.4747595140689	1.33733493965794e-11	4.54693879483701e-10	TRUE	<= 0.005	2.84183674677313e-11	9.34228089168085
vascular_smooth_muscle	31yr	AGTR2	-1.86185527024498								
