Feature	term	estimate	std.error	statistic	p.value	p.bonf	p.bonf.sig	p.bonf.cat	p.fdr	log.p.bonf
Smooth_muscle	AGTR2	-1.24826046565314	0.0966302714487646	-12.9179029194283	1.94967922226053e-18	5.4591018223295e-17	TRUE	<= 0.005	1.36477545558237e-17	16.2628788052245
Smooth_muscle_FAM83D+	AGTR2	-0.379643728335698								
Subpleural_fibroblasts	AGTR2	-0.749545082449913	0.180397714304969	-4.15495886595759	0.00597791522949109	0.167381626425751	FALSE	> 0.05	0.0167381626425751	0.776292216473301
T_cell_lineage	AGTR2	-0.286567239179498	0.313605291262903	-0.913783176379067	0.370737325595079	1	FALSE	> 0.05	0.546349742982222	0
Transitional_Club-AT2_cells	AGTR2	-0.332429697944058	0.490159281052283	-0.678207494572769	0.513027343852168	1	FALSE	> 0.05	0.63857601702607	0
Basal_resting	AGTR2	-0.722825467586517								
Suprabasal	AGTR2	-0.0107770354620049	0.186422207577808	-0.057809826425893	0.954851602696745	1	FALSE	> 0.05	0.982133077059509	0
Hillock-like	AGTR2	-0.120969094336033								
Multiciliated_(non-nasal)	AGTR2	0.186877202242613	0.149119321844132	1.25320582156314	0.224584503947811	1	FALSE	> 0.05	0.346703276494823	0
Club_(non-nasal)	AGTR2	0.0967770338058472	0.683082798828452	0.141676871342432	0.890838067925549	1	FALSE	> 0.05	0.975289103800793	0
AT0	AGTR2	-0.324057678381602	0.634282157423701	-0.510904610178293	0.636324319931842	1	FALSE	> 0.05	0.738957274759558	0
pre-TB_secretory	AGTR2	-0.0684712380170823	0.662967717198422	-0.103279897709694	0.92110637581186	1	FALSE	> 0.05	0.975289103800793	0
Ionocyte	AGTR2	-0.814515113830566								
Neuroendocrine	AGTR2	-0.490253359079361								
AT1	AGTR2	-0.856442600488663	0.522197050403345	-1.64007552288384	0.152100081131415	1	FALSE	> 0.05	0.328294323459265	0
AT2	AGTR2	0.933032916379963	0.0441303788846569	21.1426445899914	1.91529070130476e-39	6.89504652469715e-38	TRUE	<= 0.005	6.89504652469715e-38	37.1614627990529
AT2_proliferating	AGTR2	0.561807176488496	0.0471413074983509	11.9175136690502	4.88321480866451e-12	1.75795733111922e-10	TRUE	<= 0.005	2.9299288851987e-11	9.75499167026586
EC_arterial	AGTR2	-0.0255324728786945	0.244076034907644	-0.104608684291171	0.918170235187193	1	FALSE	> 0.05	0.975289103800793	0
EC_aerocyte_capillary	AGTR2	-1.72360682487488								
EC_general_capillary	AGTR2	-0.399934221591268	0.4078979632975	-0.980476142509141	0.346205727018634	1	FALSE	> 0.05	0.461607636024846	0
EC_venous_systemic	AGTR2	-0.345569944381714	0.238515404391707	-1.44883700599142	0.185419353420932	1	FALSE	> 0.05	0.334797947904633	0
EC_venous_pulmonary	AGTR2	0.787467688322067	0.225648432970047	3.48979905580198	0.0732080496549008	1	FALSE	> 0.05	0.175699319171762	0
Lymphatic_EC_mature	AGTR2	0.471684585014979	0.339445338052498	1.38957449738794	0.194817387006657	1	FALSE	> 0.05	0.334797947904633	0
Lymphatic_EC_differentiating	AGTR2	-0.967308580875397								
Peribronchial_fibroblasts	AGTR2	-0.944574898909846	0.130566616753711	-7.23442884862065	2.58034646431226e-09	9.28924727152415e-08	TRUE	<= 0.005	1.32703532450345e-08	7.03201947643349
Adventitial_fibroblasts	AGTR2	-0.764421953152566	0.0710558678541808	-10.7580411898043	8.70353837949506e-17	3.13327381661822e-15	TRUE	<= 0.005	6.26654763323644e-16	14.5040016504901
Alveolar_fibroblasts	AGTR2	-1.05090006075316	0.0641720201073877	-16.3762970059933	1.21796080732036e-26	4.38465890635331e-25	TRUE	<= 0.005	1.60498223423162e-25	24.3580641858442
Pericytes	AGTR2	-1.57633337447882	0.0745144832384319	-21.1547246383613	1.33748519519301e-26	4.81494670269484e-25	TRUE	<= 0.005	1.60498223423162e-25	24.317408515778
Subpleural_fibroblasts	AGTR2	-0.749545082449913	0.180397714304969	-4.15495886595759	0.00597791522949109	0.215204948261679	FALSE	> 0.05	0.0179337456884733	0.667147747048233
Myofibroblasts	AGTR2	-0.939395007159975	0.170639310240227	-5.50515004917383	0.00057027043056046	0.0205297355001766	TRUE	<= 0.05	0.00186633959092514	1.68761664593159
Smooth_muscle	AGTR2	-1.29894931766392	0.0994857034388216	-13.0566430428137	9.86134308575702e-18	3.55008351087253e-16	TRUE	<= 0.005	8.87520877718132e-17	15.4497614306394
Smooth_muscle_FAM83D+	AGTR2	-0.379643728335698								
SM_activated_stress_response	AGTR2	-0.801374067933786	0.146130001984076	-5.48398040821974	0.000139806417823936	0.00503303104166169	TRUE	<= 0.01	0.000503303104166169	2.29817039104518
Mesothelium	AGTR2	-0.87228199839592	0.00264272093772888	-330.069658866648	9.17873458601152e-06	0.000330434445096415	TRUE	<= 0.005	4.13043056370518e-05	3.48091468733355
Hematopoietic_stem_cells	AGTR2	0.981479287147522								
B_cells	AGTR2	-0.758333444595337								
Plasma_cells	AGTR2	-0.430529495080312	0.421364822427881	-1.02174997096251	0.364664406290202	1	FALSE	> 0.05	0.468854236658831	0
CD4_T_cells	AGTR2	0.564610362052918	0.3813871233765	1.48041275503563	0.177033941921218	1	FALSE	> 0.05	0.334797947904633	0
CD8_T_cells	AGTR2	-0.493100759055879	0.375082213169189	-1.31464714066155	0.207161970911015	1	FALSE	> 0.05	0.338992316036206	0
NK_cells	AGTR2	0.00312223037083915	0.483089781748086	0.00646304370078206	0.995152759406353	1	FALSE	> 0.05	0.995152759406353	0
DC1	AGTR2	0.441152557730675	0.0518208593130113	8.51303053594694	0.0135193074361197	0.486695067700309	FALSE	> 0.05	0.037438082130793	0.312743054992148
DC2	AGTR2	0.427551140387853	0.317216443056	1.34782149458871	0.248990929651081	1	FALSE	> 0.05	0.358546938697556	0
Alveolar_macrophages	AGTR2	-0.159714842029722	0.152078501901476	-1.05021314671546	0.299625688064026	1	FALSE	> 0.05	0.41486633731942	0
Alveolar_Mph_CCL3+	AGTR2	-0.149197814010439	0.263402738025752	-0.566424689161174	0.601374619274388	1	FALSE	> 0.05	0.721649543129265	0
Alveolar_Mph_MT-positive	AGTR2	0.737075492739678	0.384516313672066	1.91689004219543	0.195298802944369	1	FALSE	> 0.05	0.334797947904633	0
Alveolar_Mph_proliferating	AGTR2	0.327999025583267								
Monocyte-derived_Mph	AGTR2	0.31474556773901	0.209395105991109	1.50311807073645	0.155027874966875	1	FALSE	> 0.05	0.328294323459265	0
Interstitial_Mph_perivascular	AGTR2	0.905393451452255	0.112048417329788	8.08037697478085	0.0149725880344771	0.539013169241177	FALSE	> 0.05	0.038500940660084	0.268400623943307
Classical_monocytes	AGTR2	-0.681364598539141	0.534404132309649	-1.2749987459759	0.231135517663215	1	FALSE	> 0.05	0.346703276494823	0
Non-classical_monocytes	AGTR2	0.435272783041	0.491435137748892	0.885717665681877	0.396568615497697	1	FALSE	> 0.05	0.492292074410934	0
Mast_cells	AGTR2	-1.41024527947108	0.122983027846348	-11.4669910488218	2.64065037378654e-05	0.000950634134563153	TRUE	<= 0.005	0.000105626014951461	3.02198659548386
